name,sku,price,stock
"Sony Monitor",SKU-000001,4329568,448
"Sony Monitor",SKU-000002,21471991,360
"Dell Laptop",SKU-000003,25754078,993
"HP Tablet",SKU-000004,49315966,996
"Apple Tablet",SKU-000005,43343009,771
"Apple Monitor",SKU-000006,19995453,212
"Sony Smartphone",SKU-000007,44125006,601
"Samsung Camera",SKU-000008,43055097,966
"Apple Monitor",SKU-000009,36295581,117
"Dell Camera",SKU-000010,11960987,989
"Dell Laptop",SKU-000011,44094765,280
"Apple Laptop",SKU-000012,46734735,810
"Apple Monitor",SKU-000013,40975057,420
"Samsung Smartphone",SKU-000014,37675771,939
"Sony Tablet",SKU-000015,18415880,648
"HP Smartphone",SKU-000016,3546815,190
"Apple Smartphone",SKU-000017,7503099,773
"Dell Laptop",SKU-000018,2319246,414
"Apple Smartphone",SKU-000019,26805660,452
"Dell Tablet",SKU-000020,47367963,836
"HP Laptop",SKU-000021,16908835,700
"Samsung Camera",SKU-000022,3501394,302
"Sony Tablet",SKU-000023,4981540,765
"HP Camera",SKU-000024,23488933,311
"Sony Monitor",SKU-000025,49806704,13
"Dell Smartphone",SKU-000026,16520529,469
"Sony Monitor",SKU-000027,45693102,311
"Sony Smartphone",SKU-000028,16328308,68
"Sony Smartphone",SKU-000029,33302062,633
"Samsung Smartphone",SKU-000030,45011212,890
"Dell Laptop",SKU-000031,29476998,739
"HP Tablet",SKU-000032,18118179,278
"Sony Laptop",SKU-000033,23601827,140
"HP Tablet",SKU-000034,17757900,990
"Samsung Laptop",SKU-000035,46987453,233
"HP Tablet",SKU-000036,40749806,761
"Sony Camera",SKU-000037,27928550,850
"Dell Monitor",SKU-000038,3820167,301
"Samsung Smartphone",SKU-000039,27359365,371
"Samsung Laptop",SKU-000040,21900755,206
"Apple Monitor",SKU-000041,32707529,551
"Sony Monitor",SKU-000042,2201716,679
"Samsung Smartphone",SKU-000043,19583802,263
"Apple Tablet",SKU-000044,15498663,113
"HP Monitor",SKU-000045,10339469,538
"Sony Smartphone",SKU-000046,49523865,201
"Dell Camera",SKU-000047,25636531,483
"Apple Monitor",SKU-000048,5631409,646
"Samsung Monitor",SKU-000049,20573245,985
"Sony Monitor",SKU-000050,40458610,372
"Sony Tablet",SKU-000051,6273364,595
"Samsung Monitor",SKU-000052,25732999,283
"HP Smartphone",SKU-000053,35229942,896
"HP Tablet",SKU-000054,28499941,960
"Sony Laptop",SKU-000055,42942553,59
"Samsung Tablet",SKU-000056,10340187,93
"Dell Smartphone",SKU-000057,26999788,114
"Dell Monitor",SKU-000058,2595638,955
"Sony Laptop",SKU-000059,34076026,438
"Samsung Smartphone",SKU-000060,40830758,461
"Samsung Tablet",SKU-000061,34988579,499
"Sony Camera",SKU-000062,23944215,485
"Sony Laptop",SKU-000063,41761660,984
"Dell Monitor",SKU-000064,19840598,17
"Dell Monitor",SKU-000065,3298397,882
"Samsung Camera",SKU-000066,15103423,468
"Apple Camera",SKU-000067,25403125,297
"Apple Smartphone",SKU-000068,28089577,307
"HP Camera",SKU-000069,28042662,764
"Samsung Smartphone",SKU-000070,4949866,988
"Dell Camera",SKU-000071,21107817,500
"Dell Monitor",SKU-000072,1204762,76
"Samsung Laptop",SKU-000073,47880646,925
"Apple Laptop",SKU-000074,3825193,344
"Apple Monitor",SKU-000075,30744377,479
"Sony Tablet",SKU-000076,20990442,717
"Sony Monitor",SKU-000077,29377447,341
"Samsung Tablet",SKU-000078,33371100,798
"HP Monitor",SKU-000079,41855090,197
"Dell Tablet",SKU-000080,13608064,177
"HP Laptop",SKU-000081,8420378,943
"Dell Camera",SKU-000082,29488697,855
"HP Tablet",SKU-000083,43313640,645
"Dell Monitor",SKU-000084,39944450,936
"Samsung Camera",SKU-000085,27118437,812
"Samsung Smartphone",SKU-000086,42672389,605
"HP Tablet",SKU-000087,15934258,280
"Dell Monitor",SKU-000088,12605215,858
"Samsung Monitor",SKU-000089,43759966,984
"HP Camera",SKU-000090,31877387,121
"Samsung Laptop",SKU-000091,43924849,935
"Apple Laptop",SKU-000092,18972923,324
"Dell Monitor",SKU-000093,29996689,405
"Apple Smartphone",SKU-000094,37060910,333
"Samsung Smartphone",SKU-000095,38457294,908
"Dell Smartphone",SKU-000096,4462299,966
"HP Monitor",SKU-000097,45329862,220
"Apple Tablet",SKU-000098,40274658,767
"Apple Smartphone",SKU-000099,36270905,227
"Sony Tablet",SKU-000100,36610021,668
"Samsung Camera",SKU-000101,14206201,75
"HP Monitor",SKU-000102,14202858,758
"Samsung Monitor",SKU-000103,32259183,341
"Sony Camera",SKU-000104,31347295,904
"HP Laptop",SKU-000105,37632725,201
"Apple Smartphone",SKU-000106,43904819,559
"Apple Monitor",SKU-000107,8368485,611
"Dell Monitor",SKU-000108,15381172,600
"Samsung Monitor",SKU-000109,28597641,829
"Sony Camera",SKU-000110,47433295,904
"Dell Tablet",SKU-000111,41222601,849
"HP Smartphone",SKU-000112,29071204,436
"Apple Monitor",SKU-000113,7060117,114
"Apple Laptop",SKU-000114,46426792,434
"HP Monitor",SKU-000115,39806898,581
"Samsung Monitor",SKU-000116,24918728,376
"Dell Smartphone",SKU-000117,47971204,869
"Apple Smartphone",SKU-000118,22548330,775
"Dell Tablet",SKU-000119,14190594,693
"HP Laptop",SKU-000120,20965118,829
"Sony Laptop",SKU-000121,38491229,85
"HP Monitor",SKU-000122,4318632,578
"HP Monitor",SKU-000123,14212877,718
"Apple Smartphone",SKU-000124,31319189,416
"HP Tablet",SKU-000125,23184728,516
"Apple Laptop",SKU-000126,41061079,671
"Apple Laptop",SKU-000127,21488131,670
"Sony Laptop",SKU-000128,35760330,974
"Samsung Monitor",SKU-000129,14903949,399
"Sony Smartphone",SKU-000130,47869618,304
"Dell Monitor",SKU-000131,29878577,941
"Sony Camera",SKU-000132,19077993,459
"Samsung Laptop",SKU-000133,28586459,504
"HP Tablet",SKU-000134,13590496,788
"Samsung Laptop",SKU-000135,29835936,998
"HP Camera",SKU-000136,12843923,547
"Samsung Camera",SKU-000137,4431608,48
"HP Monitor",SKU-000138,16898024,506
"HP Smartphone",SKU-000139,15561421,848
"Samsung Laptop",SKU-000140,36902312,94
"Apple Monitor",SKU-000141,4530557,403
"Samsung Smartphone",SKU-000142,32152971,329
"Apple Monitor",SKU-000143,49784915,92
"Apple Tablet",SKU-000144,44864463,845
"Apple Camera",SKU-000145,41244378,692
"Apple Tablet",SKU-000146,2275090,813
"Dell Tablet",SKU-000147,23931728,658
"HP Monitor",SKU-000148,41276369,588
"Samsung Tablet",SKU-000149,40111374,233
"Sony Monitor",SKU-000150,6402711,625
"HP Camera",SKU-000151,36060832,8
"Samsung Tablet",SKU-000152,36690551,442
"Sony Laptop",SKU-000153,5505651,151
"Dell Tablet",SKU-000154,25273143,913
"Samsung Monitor",SKU-000155,36806206,44
"HP Tablet",SKU-000156,1498695,462
"Apple Tablet",SKU-000157,37891834,905
"Samsung Monitor",SKU-000158,30313933,511
"Apple Smartphone",SKU-000159,34103868,937
"HP Smartphone",SKU-000160,1379704,101
"HP Laptop",SKU-000161,28873582,23
"Samsung Camera",SKU-000162,4957891,923
"HP Laptop",SKU-000163,9117949,961
"Dell Monitor",SKU-000164,39382781,884
"Samsung Tablet",SKU-000165,12035628,172
"Dell Monitor",SKU-000166,4999497,100
"Apple Laptop",SKU-000167,29842273,184
"Dell Monitor",SKU-000168,10754053,139
"Dell Laptop",SKU-000169,19201413,346
"Apple Laptop",SKU-000170,14803127,965
"HP Tablet",SKU-000171,7202653,303
"Apple Monitor",SKU-000172,48842423,127
"HP Camera",SKU-000173,14857070,74
"Dell Smartphone",SKU-000174,37600437,330
"Sony Camera",SKU-000175,13760209,602
"Dell Monitor",SKU-000176,38196894,629
"HP Laptop",SKU-000177,25572075,141
"Dell Camera",SKU-000178,41130968,825
"Dell Monitor",SKU-000179,33604964,951
"Samsung Monitor",SKU-000180,4048955,415
"Dell Smartphone",SKU-000181,18585313,934
"Sony Smartphone",SKU-000182,34764898,773
"Dell Monitor",SKU-000183,49786988,877
"HP Monitor",SKU-000184,18077810,270
"HP Laptop",SKU-000185,39431450,562
"Dell Monitor",SKU-000186,46864590,260
"Apple Monitor",SKU-000187,24698362,3
"Sony Smartphone",SKU-000188,25210841,971
"Dell Laptop",SKU-000189,1701682,357
"Dell Monitor",SKU-000190,15695716,521
